Page,Section,Image Name,Alt Tag,Thumbnail
Homepage,Header,idi_logo_stacked.png,Interior Designers Institute,/images/idi_logo_stacked.png
Homepage,Hero,photo-1502005229762-cf1b2da7c5d6.jpg,Warm staircase interior showcasing elegant design,https://images.unsplash.com/photo-1502005229762-cf1b2da7c5d6?w=400&q=60
Homepage,Hero,ACCCS_logo.png,ACCSC logo,/images/ACCCS_logo.png
Homepage,Hero,cida_logo.png,CIDA logo,/images/cida_logo.png
Homepage,Bento Grid — Feature,photo-1749930206000-179d0b85aa7e.jpg,Modern living room with curated designer details,https://images.unsplash.com/photo-1749930206000-179d0b85aa7e?w=400&q=60
Homepage,Bento Grid — Certificate,premium_photo-1758530085283-71dd36e22460.jpg,Color palette and design materials,https://plus.unsplash.com/premium_photo-1758530085283-71dd36e22460?w=400&q=60
Homepage,Bento Grid — Associate of Arts,photo-1564078516393-cf04bd966897.jpg,Gray chaise lounge in modern interior,https://images.unsplash.com/photo-1564078516393-cf04bd966897?w=400&q=60
Homepage,Bento Grid — Bachelor of Arts,photo-1750420556288-d0e32a6f517b.jpg,Modern bedroom with designer finishes,https://images.unsplash.com/photo-1750420556288-d0e32a6f517b?w=400&q=60
Homepage,Bento Grid — Master of Interior Architecture,photo-1761116186680-4c1da2eb416b.jpg,Vaulted ceiling staircase interior,https://images.unsplash.com/photo-1761116186680-4c1da2eb416b?w=400&q=60
Homepage,Gallery,photo-1768397003905-a202ea6325f5.jpg,Bold red living room with statement furniture,https://images.unsplash.com/photo-1768397003905-a202ea6325f5?w=400&q=60
Homepage,Gallery,photo-1741852197045-cc35920a3aa0.jpg,Elegant restaurant interior with ambient lighting,https://images.unsplash.com/photo-1741852197045-cc35920a3aa0?w=400&q=60
Homepage,Gallery,premium_photo-1758530086086-b40ba4e569ca.jpg,Interior design moodboard with fabric swatches,https://plus.unsplash.com/premium_photo-1758530086086-b40ba4e569ca?w=400&q=60
Homepage,Gallery,photo-1761116186680-4c1da2eb416b.jpg,Dramatic vaulted ceiling staircase design,https://images.unsplash.com/photo-1761116186680-4c1da2eb416b?w=400&q=60
Homepage,Gallery,photo-1750420556288-d0e32a6f517b.jpg,Modern bedroom with curated designer details,https://images.unsplash.com/photo-1750420556288-d0e32a6f517b?w=400&q=60
